Participant,Item,Condition,R1,R2,R3,R4,R5,R6
1,1,1,0,0,100,0,0,0
2,1,2,0,0,0,0,0,0
3,1,1,0,0,100,0,0,0
4,1,2,0,0,0,0,0,0
5,1,1,0,100,100,0,0,100
6,1,2,0,0,100,0,0,100
7,1,1,0,0,0,0,0,100
8,1,2,0,0,0,0,0,0
9,1,1,0,0,100,0,0,0
10,1,2,0,0,0,0,0,100
11,1,1,0,0,0,0,0,100
12,1,2,0,0,0,0,0,0
13,1,1,0,0,0,0,0,100
14,1,2,0,0,0,0,0,0
15,1,1,0,100,0,0,0,100
16,1,2,0,0,0,0,0,100
17,1,1,0,0,100,0,0,0
18,1,2,0,0,100,0,100,0
19,1,1,0,0,0,0,0,0
20,1,2,0,100,0,0,0,0
21,1,1,0,0,100,0,0,100
22,1,2,0,0,100,0,0,100
23,1,1,0,0,100,0,0,100
24,1,2,0,100,0,0,0,100
25,1,1,0,0,0,0,0,0
26,1,2,0,0,0,0,0,100
27,1,1,0,0,0,100,0,0
28,1,2,0,0,0,0,0,100
29,1,1,0,0,100,0,0,100
30,1,2,0,0,0,0,0,0
31,1,1,0,0,0,0,100,100
32,1,2,0,0,0,0,0,0
33,1,1,0,0,0,0,0,100
34,1,2,0,0,100,0,0,0
36,1,1,0,0,0,0,0,100
37,1,2,0,0,100,0,0,0
38,1,1,0,0,0,0,0,0
39,1,2,0,0,100,0,0,100
40,1,1,0,100,100,0,0,0
41,1,2,0,0,0,0,0,0
1,2,2,0,0,0,0,100,0
2,2,1,0,0,0,0,0,100
3,2,2,0,0,0,0,0,100
4,2,1,0,100,100,0,0,100
5,2,2,0,0,100,0,0,100
6,2,1,0,0,0,100,0,100
7,2,2,0,0,0,0,0,100
8,2,1,0,0,0,0,0,0
9,2,2,0,0,100,0,0,100
10,2,1,0,0,0,0,0,100
11,2,2,0,0,0,0,0,100
12,2,1,0,0,0,0,0,0
13,2,2,0,0,0,0,0,0
14,2,1,0,100,0,0,0,100
15,2,2,0,0,0,0,0,100
16,2,1,0,0,100,0,0,100
17,2,2,0,0,0,0,0,0
18,2,1,0,0,0,0,0,100
19,2,2,0,0,0,0,0,0
20,2,1,0,0,0,0,0,100
21,2,2,0,0,0,0,100,100
22,2,1,0,0,0,0,0,100
23,2,2,0,0,0,0,0,100
24,2,1,0,100,0,100,0,0
25,2,2,0,0,0,0,100,0
26,2,1,0,0,0,0,0,100
27,2,2,0,0,0,0,0,100
28,2,1,0,0,0,0,0,100
29,2,2,0,0,0,0,0,100
30,2,1,0,0,100,100,0,0
31,2,2,0,0,0,0,0,100
32,2,1,0,0,0,0,0,0
33,2,2,0,0,0,0,0,100
34,2,1,0,0,0,0,0,0
35,2,2,0,0,0,0,0,100
37,2,1,0,0,0,0,0,100
38,2,2,0,0,0,0,0,100
39,2,1,0,0,100,0,0,0
40,2,2,0,0,0,0,0,100
41,2,1,0,0,0,0,0,0
1,3,1,0,0,0,0,0,100
2,3,2,0,0,0,0,0,0
3,3,1,0,0,0,0,0,100
4,3,2,0,100,0,100,0,100
5,3,1,0,0,0,0,0,100
6,3,2,0,0,0,0,100,0
7,3,1,0,0,0,0,0,0
8,3,2,0,0,0,0,0,0
9,3,1,0,0,100,100,0,0
10,3,2,0,0,0,0,0,0
11,3,1,0,0,100,0,0,100
12,3,2,0,0,0,0,0,0
13,3,1,0,0,0,0,0,0
14,3,2,0,0,0,0,0,0
15,3,1,0,100,0,0,0,0
16,3,2,0,0,0,0,0,100
17,3,1,0,0,0,0,0,0
18,3,2,0,0,100,100,0,0
19,3,1,0,0,0,100,0,0
20,3,2,0,0,0,0,0,0
21,3,1,0,0,0,0,100,0
22,3,2,0,0,0,0,0,100
23,3,1,0,0,0,0,0,0
24,3,2,0,0,0,0,0,100
25,3,1,0,0,0,0,0,100
26,3,2,0,0,0,0,0,100
27,3,1,0,0,0,0,0,100
28,3,2,0,0,0,0,0,100
29,3,1,0,0,0,0,0,100
30,3,2,0,0,100,0,0,100
31,3,1,0,0,0,0,0,100
32,3,2,0,0,0,0,0,100
33,3,1,0,0,0,0,0,0
34,3,2,0,0,0,0,0,0
36,3,1,0,0,0,0,0,0
37,3,2,0,100,0,0,0,100
38,3,1,0,0,0,0,0,100
39,3,2,0,0,0,0,0,100
40,3,1,0,0,0,0,0,100
41,3,2,0,0,0,0,0,0
1,4,2,0,0,0,0,0,0
2,4,1,0,0,0,0,0,0
3,4,2,0,0,0,0,0,0
4,4,1,0,100,0,0,0,100
5,4,2,0,100,0,0,0,100
6,4,1,0,0,0,0,0,0
7,4,2,0,100,0,0,0,0
8,4,1,0,0,0,0,0,0
9,4,2,0,0,0,0,0,0
10,4,1,0,0,0,0,0,0
11,4,2,0,0,0,0,0,100
12,4,1,0,0,0,0,0,0
13,4,2,0,100,0,0,0,0
14,4,1,0,0,0,0,0,0
15,4,2,0,0,0,0,0,100
16,4,1,0,0,100,0,100,0
17,4,2,0,0,0,0,0,0
18,4,1,0,100,0,100,100,100
19,4,2,0,0,100,0,0,0
20,4,1,0,100,0,0,0,0
21,4,2,0,0,0,0,0,100
22,4,1,0,0,0,0,100,100
23,4,2,0,0,0,0,0,100
24,4,1,0,0,0,0,0,100
25,4,2,0,0,0,0,0,100
26,4,1,0,0,0,0,0,100
27,4,2,0,0,0,0,0,100
28,4,1,0,0,0,0,0,100
29,4,2,0,0,0,0,0,100
30,4,1,0,100,0,0,0,100
31,4,2,0,0,0,0,0,0
32,4,1,0,0,0,0,0,0
33,4,2,0,0,0,0,0,100
34,4,1,0,0,0,0,0,0
36,4,2,0,0,0,0,0,100
37,4,1,0,100,0,0,0,0
38,4,2,0,0,0,0,0,100
39,4,1,0,0,100,0,0,100
40,4,2,0,0,0,0,0,100
41,4,1,0,0,0,0,0,0
1,5,1,0,0,0,0,0,0
2,5,2,0,0,100,0,0,100
3,5,1,0,0,0,0,0,0
4,5,2,0,0,100,100,100,100
5,5,1,0,0,0,0,0,100
6,5,2,0,0,0,0,0,0
7,5,1,0,0,0,0,0,100
8,5,2,0,0,0,100,0,0
9,5,1,0,0,0,0,0,100
10,5,2,0,0,0,0,0,0
11,5,1,0,0,0,0,0,100
12,5,2,0,0,0,0,0,0
13,5,1,0,100,0,0,0,100
14,5,2,0,0,0,0,0,0
15,5,1,0,100,0,0,100,100
16,5,2,0,0,0,0,0,100
17,5,1,0,0,0,0,0,100
18,5,2,0,0,0,0,100,0
19,5,1,0,0,0,0,0,0
20,5,2,0,0,0,0,0,100
21,5,1,0,100,0,0,0,100
22,5,2,0,0,100,0,0,100
23,5,1,0,0,0,0,0,100
24,5,2,0,0,0,0,0,100
25,5,1,0,0,100,0,0,100
26,5,2,0,100,0,0,0,0
27,5,1,0,0,0,0,0,100
28,5,2,0,0,0,0,0,100
29,5,1,0,0,100,0,0,0
30,5,2,0,100,100,100,0,0
31,5,1,0,0,0,0,0,100
32,5,2,0,0,100,0,0,100
33,5,1,0,0,0,0,0,0
34,5,2,0,0,0,0,0,0
36,5,1,0,0,0,0,0,0
37,5,2,0,100,0,0,0,100
