Participant,Item,Condition,R1,R2,R3,R4,R5,R6
1,1,1,2457,2187,161,1694,2806,795
2,1,2,2771,4785,1253,1720,1409,1759
3,1,1,1582,2609,1974,1443,1096,720
4,1,2,4845,2653,1238,2321,1083,534
5,1,1,2068,339,147,1440,887,739
6,1,2,929,1457,142,845,746,565
7,1,1,4727,2432,1836,1590,1192,937
8,1,2,2806,3129,1384,2192,1868,1991
9,1,1,2130,2146,144,1194,1085,1162
10,1,2,1433,2669,1173,1803,1260,180
11,1,1,1960,3004,1932,1671,921,1253
12,1,2,1402,2869,872,1384,1018,1269
13,1,1,1962,3394,1451,1090,1023,1097
14,1,2,1373,2631,1795,1342,1481,1043
15,1,1,3928,1537,623,2900,1007,1400
16,1,2,2686,2173,1482,2438,1101,1026
17,1,1,1754,2673,397,1723,1702,1060
18,1,2,3410,3635,154,2599,85,1996
19,1,1,2111,2137,1696,2979,1620,1362
20,1,2,2384,2276,1047,1630,1262,1392
21,1,1,2789,1270,130,1051,423,916
22,1,2,2914,3916,1600,1423,1213,1207
23,1,1,2284,2064,109,1496,1238,1073
24,1,2,2774,1748,603,1086,880,1250
25,1,1,1687,2098,1414,1962,1439,1286
26,1,2,2375,1774,1061,2461,1235,1466
27,1,1,1055,1269,584,283,975,815
28,1,2,2134,1806,916,2030,1890,1041
29,1,1,1143,1261,138,869,1067,1152
30,1,2,4099,3706,1287,3439,2582,1721
31,1,1,3480,5392,2460,2840,465,921
32,1,2,2081,2403,1109,1272,1255,2375
33,1,1,2403,2386,1185,1369,1368,1385
34,1,2,1529,1993,90,2140,1975,868
36,1,1,2297,2402,1557,2071,1316,832
37,1,2,1794,2755,1278,1564,920,1064
38,1,1,2165,2660,1441,1415,851,862
39,1,2,4335,1098,587,1140,1074,872
40,1,1,955,1489,206,531,445,687
41,1,2,1949,2778,1110,1281,1198,1368
1,2,2,1929,1912,2708,2007,2328,0
2,2,1,4358,2711,6309,2578,2095,399
3,2,2,1899,2639,2500,1724,1688,1149
4,2,1,4407,4511,1621,2533,1546,2181
5,2,2,1400,2188,2164,2822,1433,1090
6,2,1,1091,1530,1050,156,808,424
7,2,2,2333,1520,2116,1561,1662,1075
8,2,1,3745,3413,1891,1988,1680,1065
9,2,2,2003,2082,306,2664,1754,1040
10,2,1,2026,1900,2445,1488,1406,956
11,2,2,3292,2197,2695,1228,1075,1352
12,2,1,2835,2280,1891,1976,1180,1033
13,2,2,1890,4010,1241,2393,1886,1172
14,2,1,1876,151,1959,1155,1417,989
15,2,2,5134,1371,2154,1132,2097,893
16,2,1,2029,2382,1825,1887,1162,994
17,2,2,2414,2861,2898,3984,1821,1286
18,2,1,5767,1952,2764,2137,3448,947
19,2,2,2252,1979,1546,2111,2165,1717
20,2,1,2143,2436,2336,2338,2852,1010
21,2,2,1161,1848,2017,3175,471,634
22,2,1,2576,2397,2034,2835,2201,1498
23,2,2,1392,3288,1377,1122,1219,1420
24,2,1,1476,2110,1712,1093,750,910
25,2,2,1882,2200,2215,2221,1906,1110
26,2,1,2011,1846,1832,1385,1078,1472
27,2,2,1094,1447,1179,1224,1353,604
28,2,1,1472,1665,1731,1715,1606,1039
29,2,2,1625,1874,2138,1666,1437,921
30,2,1,6281,7908,2978,948,2425,1509
31,2,2,3483,2593,2707,1578,2089,1225
32,2,1,1995,546,1850,1566,1957,1804
33,2,2,1965,2004,1402,2451,2016,1310
34,2,1,1928,1762,2475,1202,1342,1359
35,2,2,2968,2473,3530,2134,1786,1185
37,2,1,1984,2755,2207,1984,2153,864
38,2,2,2402,2110,4358,1174,1167,773
39,2,1,1595,2309,575,882,632,916
40,2,2,1222,1135,1537,598,487,710
41,2,1,2616,2415,2153,1886,1363,2290
1,3,1,2385,2047,2357,1519,1217,1510
2,3,2,1596,2146,1778,2396,1988,2314
3,3,1,1902,1410,2855,1382,1130,2318
4,3,2,2194,189,2181,144,1581,1451
5,3,1,1666,1965,1857,1215,1200,2295
6,3,2,1493,908,1099,406,917,1777
7,3,1,1613,884,2043,1267,972,1893
8,3,2,2083,3513,2076,3449,2150,2354
9,3,1,3069,1892,270,517,944,810
10,3,2,2684,1240,1510,1141,1444,1526
11,3,1,1385,1611,1294,1229,1104,1166
12,3,2,1727,1775,1244,1745,1702,1975
13,3,1,1833,1208,1871,1187,805,1044
14,3,2,1710,1606,1583,1856,1480,1552
15,3,1,5301,1499,1511,1244,1041,2229
16,3,2,1823,1717,1488,1956,1518,2083
17,3,1,3863,1277,2971,2269,1479,2047
18,3,2,4931,3860,1711,86,896,0
19,3,1,3121,1465,2022,298,1063,1657
20,3,2,2595,1511,1720,2189,1390,1441
21,3,1,711,544,832,704,481,1526
22,3,2,4662,1098,1316,3327,1381,2546
23,3,1,1335,1118,1056,1244,811,1148
24,3,2,3906,2165,1447,2211,771,1404
25,3,1,1972,1438,1831,3183,1291,1711
26,3,2,3291,1696,1228,1697,1363,1298
27,3,1,1260,1291,1294,1222,905,2828
28,3,2,1877,1566,1613,1624,1073,1674
29,3,1,1968,944,1507,1048,679,1346
30,3,2,6038,3959,1050,4237,1924,2847
31,3,1,2189,1561,1905,1675,1084,1208
32,3,2,1661,1340,2511,2018,1714,2597
33,3,1,2710,2026,1849,2411,1777,1607
34,3,2,2035,2085,2006,2172,1617,1690
36,3,1,2850,2062,1898,1542,1095,1874
37,3,2,2924,1458,1103,1883,907,1106
38,3,1,2172,820,1383,756,736,1387
39,3,2,1574,766,780,2047,753,974
40,3,1,2142,688,1039,1124,757,310
41,3,2,2450,1655,1643,1717,1180,2854
1,4,2,1715,3457,1353,2359,2134,864
2,4,1,2409,3582,1522,1478,876,1004
3,4,2,2020,3342,1250,2014,1320,1422
4,4,1,3205,3816,2179,1805,978,2101
5,4,2,1953,2538,1328,2474,1237,1073
6,4,1,1163,1568,1661,1364,728,574
7,4,2,1680,2155,1300,1615,1438,1753
8,4,1,2338,3148,3646,3838,2190,2249
9,4,2,2132,3270,2606,1611,1499,1536
10,4,1,1669,2454,2313,1994,995,934
11,4,2,2737,3268,1359,1782,669,640
12,4,1,1376,2115,1658,1334,842,1012
13,4,2,1082,4306,1792,2304,1293,2022
14,4,1,1343,2996,1657,3237,1038,1366
15,4,2,6423,2644,1399,1894,1281,918
16,4,1,1998,3100,623,1916,1602,2078
17,4,2,3662,3100,2984,3391,1345,2386
18,4,1,2408,5050,1645,2491,1124,1502
19,4,2,1798,3322,211,1939,1405,1729
20,4,1,1755,339,1733,1756,1494,1440
21,4,2,589,2804,1733,1564,786,441
22,4,1,3354,3851,2675,3231,2607,1595
23,4,2,1033,1766,1343,2024,1017,1114
24,4,1,1716,1682,1161,781,699,1979
25,4,2,1717,2958,1934,2958,1644,1393
26,4,1,2612,2487,1675,1724,1017,2560
27,4,2,1222,2333,1260,2657,1951,2316
28,4,1,1728,2225,1971,1575,1559,1320
29,4,2,1114,2130,1047,1581,1103,1368
30,4,1,4174,348,2769,3137,1667,1896
