Participant,Item,Condition,R1,R2,R3,R4,R5,R6
1,1,1,2457,2187,3893,1694,2806,795
2,1,2,2771,4785,2343,1720,1409,1759
3,1,1,1582,2609,5057,1443,1096,720
4,1,2,4845,2653,1238,2321,1083,1643
5,1,1,2068,2601,1748,1440,887,1261
6,1,2,929,1457,1329,845,746,842
7,1,1,4727,2432,1836,1590,1192,2379
8,1,2,2806,3129,1384,2192,1868,1991
9,1,1,2130,2146,1267,1194,1085,1162
10,1,2,1433,2669,1173,1803,1260,3590
11,1,1,1960,3004,1932,1671,921,2772
12,1,2,1402,2869,872,1384,1018,1269
13,1,1,1962,3394,1451,1090,1023,1432
14,1,2,1373,2631,1795,1342,1481,1043
15,1,1,3928,6786,623,2900,1007,2592
16,1,2,2686,2173,1482,2438,1101,1861
17,1,1,1754,2673,6391,1723,1702,1303
18,1,2,3410,3635,3076,2599,2079,1996
19,1,1,2111,2137,1696,2979,1620,1362
20,1,2,2384,3867,1047,1630,1262,1392
21,1,1,2789,1270,1628,1051,1364,1426
22,1,2,2914,3916,2119,1423,1213,1386
23,1,1,2284,2064,2135,1496,1238,2887
24,1,2,2774,3789,603,1086,880,3339
25,1,1,1687,2098,1414,1962,1439,1286
26,1,2,2375,1774,1061,2461,1235,1604
27,1,1,1055,1269,584,1522,975,815
28,1,2,2134,1806,916,2030,1890,6281
29,1,1,1143,1261,1475,869,1067,2515
30,1,2,4099,3706,4875,3439,2582,1721
31,1,1,3480,5392,2460,2840,3304,1188
32,1,2,2081,2403,1109,1272,1255,2375
33,1,1,2403,2386,1185,1369,1368,1719
34,1,2,1529,1993,1872,2140,1975,868
36,1,1,2297,2402,1557,2071,1316,3882
37,1,2,1794,2755,1679,1564,920,1064
38,1,1,2165,2660,1441,1415,851,862
39,1,2,4335,1098,1550,1140,1074,6190
40,1,1,955,1816,1041,531,445,687
41,1,2,1949,2778,1110,1281,1198,1368
1,2,2,1929,1912,2708,2007,3276,0
2,2,1,4358,2711,6309,2578,2095,7730
3,2,2,1899,2639,2500,1724,1688,2961
4,2,1,4407,6612,2831,2533,1546,3186
5,2,2,1400,2188,5776,2822,1433,1379
6,2,1,1091,1530,1050,1605,808,886
7,2,2,2333,1520,2116,1561,1662,1859
8,2,1,3745,3413,1891,1988,1680,1065
9,2,2,2003,2082,2871,2664,1754,4227
10,2,1,2026,1900,2445,1488,1406,1302
11,2,2,3292,2197,2695,1228,1075,3846
12,2,1,2835,2280,1891,1976,1180,1033
13,2,2,1890,4010,1241,2393,1886,1172
14,2,1,1876,3160,1959,1155,1417,1253
15,2,2,5134,1371,2154,1132,2097,1158
16,2,1,2029,2382,2110,1887,1162,1771
17,2,2,2414,2861,2898,3984,1821,2359
18,2,1,5767,1952,2764,2137,3448,2429
19,2,2,2252,1979,1546,2111,2165,1717
20,2,1,2143,2436,2336,2338,2852,4263
21,2,2,1161,1848,2017,3175,3441,764
22,2,1,2576,2397,2034,2835,2201,2699
23,2,2,1392,3288,1377,1122,1219,1913
24,2,1,1476,4450,1712,1794,750,910
25,2,2,1882,2200,2215,2221,10742,1110
26,2,1,2011,1846,1832,1385,1078,1818
27,2,2,1094,1447,1179,1224,1353,1843
28,2,1,1472,1665,1731,1715,1606,5126
29,2,2,1625,1874,2138,1666,1437,4082
30,2,1,6281,7908,5160,7672,2425,1509
31,2,2,3483,2593,2707,1578,2089,2525
32,2,1,1995,2833,1850,1566,1957,1804
33,2,2,1965,2004,1402,2451,2016,1394
34,2,1,1928,1762,2475,1202,1342,1359
35,2,2,2968,2473,3530,2134,1786,2301
37,2,1,1984,2755,2207,1984,2153,3364
38,2,2,2402,2110,4358,1174,1167,1505
39,2,1,1595,2309,6004,882,632,916
40,2,2,1222,1135,1537,598,487,2689
41,2,1,2616,2415,2153,1886,1363,2290
1,3,1,2385,2047,2357,1519,1217,1694
2,3,2,1596,2146,1778,2396,1988,2314
3,3,1,1902,1410,2855,1382,1130,2432
4,3,2,2194,6389,2181,2461,1581,2254
5,3,1,1666,1965,1857,1215,1200,3077
6,3,2,1493,908,1099,406,1618,1777
7,3,1,1613,884,2043,1267,972,1893
8,3,2,2083,3513,2076,3449,2150,2354
9,3,1,3069,1892,1683,3106,944,810
10,3,2,2684,1240,1510,1141,1444,1526
11,3,1,1385,1611,2253,1229,1104,2075
12,3,2,1727,1775,1244,1745,1702,1975
13,3,1,1833,1208,1871,1187,805,1044
14,3,2,1710,1606,1583,1856,1480,1552
15,3,1,5301,1971,1511,1244,1041,2229
16,3,2,1823,1717,1488,1956,1518,2273
17,3,1,3863,1277,2971,2269,1479,2047
18,3,2,4931,3860,1912,3934,896,0
19,3,1,3121,1465,2022,2650,1063,1657
20,3,2,2595,1511,1720,2189,1390,1441
21,3,1,711,1687,832,704,594,1526
22,3,2,4662,1098,1316,3327,1381,2847
23,3,1,1335,1118,1056,1244,811,1148
24,3,2,3906,2165,1447,2211,771,2348
25,3,1,1972,1438,1831,3183,1291,4015
26,3,2,3291,1696,1228,1697,1363,1472
27,3,1,1260,1291,1294,1222,905,2963
28,3,2,1877,1566,1613,1624,1073,4991
29,3,1,1968,944,1507,1048,679,1805
30,3,2,6038,3959,11361,4237,1924,15720
31,3,1,2189,1561,1905,1675,1084,1350
32,3,2,1661,1340,2511,2018,1714,4114
33,3,1,2710,2026,1849,2411,1777,3053
34,3,2,2035,2085,2006,2172,1617,1690
36,3,1,2850,2062,1898,1542,1095,1874
37,3,2,2924,2287,1103,1883,907,2942
38,3,1,2172,820,1383,756,736,3567
39,3,2,1574,766,780,2047,753,1197
40,3,1,2142,688,1039,1124,757,996
41,3,2,2450,1655,1643,1717,1180,2854
1,4,2,1715,3457,1353,2359,2134,864
2,4,1,2409,3582,1522,1478,876,1004
3,4,2,2020,3342,1250,2014,1320,1422
4,4,1,3205,5780,2179,1805,978,3050
5,4,2,1953,6279,1328,2474,1237,2476
6,4,1,1163,1568,1661,1364,728,574
7,4,2,1680,4281,1300,1615,1438,1753
8,4,1,2338,3148,3646,3838,2190,2249
9,4,2,2132,3270,2606,1611,1499,1536
10,4,1,1669,2454,2313,1994,995,934
11,4,2,2737,3268,1359,1782,669,1618
12,4,1,1376,2115,1658,1334,842,1012
13,4,2,1082,4860,1792,2304,1293,2022
14,4,1,1343,2996,1657,3237,1038,1366
15,4,2,6423,2644,1399,1894,1281,1130
16,4,1,1998,3100,2030,1916,2115,2078
17,4,2,3662,3100,2984,3391,1345,2386
18,4,1,2408,7699,1645,4031,2318,1583
19,4,2,1798,3322,3620,1939,1405,1729
20,4,1,1755,4039,1733,1756,1494,1440
21,4,2,589,2804,1733,1564,786,2171
22,4,1,3354,3851,2675,3231,3624,1789
23,4,2,1033,1766,1343,2024,1017,1334
24,4,1,1716,1682,1161,781,699,2244
25,4,2,1717,2958,1934,2958,1644,2058
26,4,1,2612,2487,1675,1724,1017,2936
27,4,2,1222,2333,1260,2657,1951,4304
28,4,1,1728,2225,1971,1575,1559,3753
29,4,2,1114,2130,1047,1581,1103,2761
30,4,1,4174,7327,2769,3137,1667,2337
31,4,2,1650,3328,2570,1846,2171,1714
32,4,1,2084,2946,1905,1572,930,1334
33,4,2,1170,2062,1409,1486,1372,2847
34,4,1,1331,2123,1926,1935,1082,1047
36,4,2,2955,3246,1287,1421,1348,1583
37,4,1,1773,6239,1814,1729,655,1168
38,4,2,1489,2907,3558,2899,916,1435
39,4,1,1450,1782,5378,920,676,1444
40,4,2,1758,2097,1099,1116,621,3211
41,4,1,2129,3666,2480,1923,1129,2073
1,5,1,1497,1277,1379,1270,936,1139
2,5,2,4117,2762,14518,1644,3071,6112
3,5,1,2099,1374,1199,941,1538,1000
4,5,2,4645,0,310,6231,2634,1670
5,5,1,1299,1251,621,1091,732,1725
6,5,2,1119,1080,870,808,551,655
7,5,1,3182,2512,1323,1333,1070,2950
8,5,2,3327,2038,3471,1875,1225,1785
9,5,1,4071,2346,1905,1379,1049,2610
10,5,2,4012,3168,1859,1302,853,1225
11,5,1,923,1375,1514,1270,1396,1973
12,5,2,1359,1332,1530,924,1133,1538
13,5,1,1607,2299,918,1470,737,1407
14,5,2,1720,1238,2167,1507,947,1128
15,5,1,4036,2180,1018,1927,1790,1342
16,5,2,1979,1494,2058,1540,1442,2117
17,5,1,3058,1835,1293,1547,1565,2662
18,5,2,3216,1978,1993,1633,2756,1620
