Participant,Item,Condition,R1,R2,R3,R4,R5,R6
1,1,1,2457,4106,1974,1694,2806,795
2,1,2,3861,4785,1253,1720,1409,1759
3,1,1,2534,3934,2780,1443,1096,720
4,1,2,4845,2840,2006,2475,1083,534
5,1,1,3474,1775,1564,1440,1013,739
6,1,2,1206,1677,1109,845,746,565
7,1,1,4727,2432,1983,1590,1775,1649
8,1,2,2806,3129,1384,2192,1868,1991
9,1,1,2130,2386,1027,1194,1085,1162
10,1,2,2621,2669,1173,1803,1434,2228
11,1,1,2350,3758,2307,1671,921,1253
12,1,2,1402,2869,872,1384,1018,1269
13,1,1,2297,3394,1451,1090,1023,1097
14,1,2,1373,2631,1795,1342,1481,1043
15,1,1,7563,4343,623,2900,1007,1400
16,1,2,3061,2256,1482,2438,1101,1403
17,1,1,3637,5314,1867,1723,1945,1060
18,1,2,3410,4025,2686,2902,1776,1996
19,1,1,2111,2137,1696,2979,1620,1362
20,1,2,2839,3412,1047,1630,1262,1392
21,1,1,3193,1523,1198,1180,1392,1042
22,1,2,3612,3916,1600,1423,1213,1207
23,1,1,3722,2445,1169,1496,2199,1073
24,1,2,4546,3239,603,1953,880,1250
25,1,1,1687,2098,1414,1962,1439,1286
26,1,2,2513,1774,1061,2461,1235,1466
27,1,1,1055,1269,838,1268,975,815
28,1,2,3214,3234,1632,3004,2776,1197
29,1,1,1143,1717,1920,869,1321,1360
30,1,2,4099,4861,3720,3439,2582,1721
31,1,1,3747,5392,2460,3292,2852,921
32,1,2,2081,2403,1109,1272,1255,2375
33,1,1,2403,2386,1185,1369,1702,1385
34,1,2,1529,2288,1577,2140,1975,868
36,1,1,2987,3429,2227,2734,1316,832
37,1,2,2195,2755,1278,1564,920,1064
38,1,1,2165,2660,1441,1415,851,862
39,1,2,5360,2228,1990,1900,2666,1243
40,1,1,1282,1861,669,531,445,687
41,1,2,1949,2778,1110,1281,1198,1368
1,2,2,1929,1912,3544,2119,2328,0
2,2,1,4982,4868,6309,3667,3470,2485
3,2,2,1899,2639,2500,2868,2035,1470
4,2,1,5710,6519,1621,2866,2218,2181
5,2,2,2440,3877,3047,2822,1722,1090
6,2,1,1973,1829,1050,886,808,424
7,2,2,2333,2304,2116,1561,1662,1075
8,2,1,3745,3413,1891,1988,1680,1065
9,2,2,2889,3993,3261,2664,1754,1040
10,2,1,2026,1900,2791,1488,1406,956
11,2,2,4173,3810,2695,1228,1075,1352
12,2,1,2835,2280,1891,1976,1180,1033
13,2,2,1890,4010,1241,2393,1886,1172
14,2,1,3026,2010,1959,1155,1567,1103
15,2,2,5277,1371,2154,1132,2219,893
16,2,1,2644,2829,1825,1887,1162,994
17,2,2,2664,2949,2898,3984,1821,2021
18,2,1,5767,1952,2764,2137,3861,2016
19,2,2,2252,1979,1546,2111,2165,1717
20,2,1,3264,4439,2336,2338,2981,1010
21,2,2,1624,2625,2818,3547,1158,634
22,2,1,2576,2876,2159,3106,2527,1498
23,2,2,1885,3288,1377,1122,1219,1420
24,2,1,3071,2855,2413,1093,750,910
25,2,2,1882,4246,5121,4309,3702,1110
26,2,1,2011,1846,1832,1385,1215,1681
27,2,2,1094,1447,1179,1700,1831,889
28,2,1,2688,3610,2536,1836,1606,1039
29,2,2,2589,2997,3212,1666,1437,921
30,2,1,7333,9750,3463,6475,2425,1509
31,2,2,3868,3299,2916,1578,2089,1225
32,2,1,2327,2501,1850,1566,1957,1804
33,2,2,1965,2004,1486,2451,2016,1310
34,2,1,1928,1762,2475,1202,1342,1359
35,2,2,2968,2473,3530,2796,2240,1185
37,2,1,2800,4099,2547,1984,2153,864
38,2,2,3134,2110,4358,1174,1167,773
39,2,1,5025,3477,1406,882,632,916
40,2,2,1982,1135,1768,962,1111,710
41,2,1,2616,2415,2153,1886,1363,2290
1,3,1,2569,2047,2357,1519,1217,1510
2,3,2,1596,2146,1778,2396,1988,2314
3,3,1,1902,1410,2969,1382,1130,2318
4,3,2,6064,2519,2419,3026,1581,1451
5,3,1,2070,2123,1857,1215,1200,2515
6,3,2,1493,908,1099,668,1356,1777
7,3,1,1613,884,2043,1267,972,1893
8,3,2,2083,3513,2076,3449,2150,2354
9,3,1,3069,2083,2806,1792,944,810
10,3,2,2684,1240,1510,1141,1444,1526
11,3,1,2152,2430,1576,1229,1104,1166
12,3,2,1727,1775,1244,1745,1702,1975
13,3,1,1833,1208,1871,1187,805,1044
14,3,2,1710,1606,1583,1856,1480,1552
15,3,1,5773,1499,1511,1244,1041,2229
16,3,2,1823,1907,1488,1956,1518,2083
17,3,1,3863,1277,2971,2269,1479,2047
18,3,2,4931,4061,2258,3387,896,1737
19,3,1,3121,1465,2505,2167,1063,1657
20,3,2,2595,1511,1720,2189,1390,1441
21,3,1,1300,1098,832,817,481,1526
22,3,2,4963,1098,1316,3327,1381,2546
23,3,1,1335,1118,1056,1244,811,1148
24,3,2,3906,2165,2137,2465,771,1404
25,3,1,2360,1951,1972,3424,1886,2137
26,3,2,3291,1870,1228,1697,1363,1298
27,3,1,1395,1291,1294,1222,905,2828
28,3,2,3079,2258,3036,1624,1073,1674
29,3,1,1968,1169,1741,1048,679,1346
30,3,2,11067,8429,8069,7102,4226,4346
31,3,1,2189,1703,1905,1675,1084,1208
32,3,2,1661,1340,2511,2018,1962,3866
33,3,1,3942,2150,1849,2411,1777,1697
34,3,2,2035,2085,2006,2172,1617,1690
36,3,1,2850,2062,1898,1542,1095,1874
37,3,2,4945,2102,1103,1883,907,1106
38,3,1,3180,820,1383,756,736,2559
39,3,2,1574,766,780,2047,976,974
40,3,1,2554,688,1039,1124,896,445
41,3,2,2450,1655,1643,1717,1180,2854
1,4,2,1715,3457,1353,2359,2134,864
